xmin, ymin, xmax, ymax

s1

1 cone, 122, 694, 155, 760
2 person, 113, 602, 163, 760
3 cone, 690, 694, 707, 723
4 person, 693, 660, 720, 722
5 cone, 1344, 677, 1360, 706
6 person, 1350, 648, 1373, 702
7 cone, 1501, 678, 1521, 714
8 cone, 1867, 652, 1895, 723
9 person, 1855, 571, 1898, 719


s2

1 cone, 124, 692, 152, 762
2 person, 120, 600, 170, 763
3 person, 508, 646, 545, 743
4 cone, 688, 694, 706, 724
5 cone, 1343, 678, 1361, 707
6 cone, 1500, 676, 1519, 714
7 person, 1512, 626, 1547, 713
8 person, 1853, 564, 1903, 721
9 cone, 1864, 649, 1894, 721


s3
1 cone, 123, 694, 154, 763
2 person, 509, 646, 545, 744
3 person, 683, 659, 706, 724
4 cone, 690, 697, 706, 725
5 person, 1336, 644, 1360, 703
6 cone, 1343, 678, 1359, 702
7 cone, 1500, 679, 1521, 714
8 person, 1506, 630, 1535, 714
9 cone, 1863, 649, 1895, 725

