id /position_x /position_y /relative_velocity_x /relative_velocity_y /rcs /class_type
0 4.60000000000002 2.7 -3.25 -3.25 -13.5 0
1 6 -0.0999999999999943 -0.5 -0.5 4 0
2 7.40000000000003 -0.0999999999999943 -0.5 -0.5 -2 0
3 8.80000000000001 -0.0999999999999943 -0.5 -0.5 -19.5 0
4 8.40000000000003 -3.09999999999999 -3.5 -3.5 -19 0
5 8.40000000000003 -3.09999999999999 -3 -3 -19.5 0
6 8.60000000000002 -3.09999999999999 -3.75 -3.75 -14.5 0
7 10.4 0.100000000000009 -0.5 -0.5 -1.5 0
8 11.8 -0.0999999999999943 0 0 -5 0
9 13.2 -3.09999999999999 -2.5 -2.5 2 0
10 14.4 -4.3 -2.5 -2.5 -9 0
11 16.2 -2.69999999999999 -2.5 -2.5 -21 0
12 18.4 4.7 8.5 8.5 -1.5 0
13 18.8000000000001 5.7 8.25 8.25 -6.5 0
14 19.6 5.50000000000001 8.25 8.25 -10.5 0
15 20.2 -0.899999999999991 -1.25 -1.25 -5 0
16 19.6 -6.49999999999999 -2.5 -2.5 -0.5 0
17 20.8000000000001 -3.3 -1.25 -1.25 -12.5 0
18 20.4 -5.49999999999999 -2.5 -2.5 -6.5 0
19 20.4 -7.3 -2.5 -2.5 -6.5 0
20 22 -3.49999999999999 -1.25 -1.25 -15 0
21 21.8000000000001 -7.09999999999999 -2.5 -2.5 -17 0
22 23.6 3.30000000000001 7.75 7.75 7.5 0
23 24.2 4.10000000000001 7.5 7.5 -2 0
24 25 5.90000000000001 7.75 7.75 -10 0
25 24.2 -10.1 -3.75 -3.75 -13 0
26 21.8000000000001 18.3 -19.25 -19.25 0.5 0
27 28 -8.3 -3.75 -3.75 -8.5 0
28 25 18.1 17.25 17.25 -2 0
29 31.6 -10.1 -4 -4 -6 0
30 30.4 16.7 -4.25 -4.25 -3 0
31 38.8000000000001 -9.89999999999999 -4 -4 -2.5 0
32 35.2 23.3 -4 -4 12.5 0
33 39.6 22.9 -3.75 -3.75 1 0
34 59.6 21.7 -4 -4 6.5 0
35 77.4 -8.09999999999999 -4 -4 7.5 0
36 74.4 27.1 -4 -4 10.5 0
37 79.8000000000001 10.9 -4 -4 13 0
38 77 31.5 -4 -4 8.5 0
39 117.4 19.3 -4 -4 16.5 0
40 6.20000000000005 -0.0999999999999943 -0.5 -0.5 10.5 0
41 10.4 -0.0999999999999943 -0.5 -0.5 -10.5 0
42 11.6 2.7 0 0 -0.5 0
43 12 -1.09999999999999 -0.75 -0.75 -15.5 0
44 13.2 0.900000000000006 -2.5 -2.5 -13 0
45 13 2.90000000000001 0 0 -1.5 0
46 14 -2.49999999999999 0 0 -25.5 0
47 19.4 -3.69999999999999 0 0 -13 0
48 20 -0.699999999999989 -1.25 -1.25 -15.5 0
49 20 0.500000000000014 -1.25 -1.25 -17.5 0
50 20.2 -2.69999999999999 -2.5 -2.5 -21.5 0
51 20.6 3.7 0 0 -12 0
52 20.4 -4.3 0 0 -16.5 0
53 23.4 3.30000000000001 7.75 7.75 -3 0
54 33.6 -3.89999999999999 -3.75 -3.75 -20 0
55 40 -6.89999999999999 0 0 -19.5 0
56 41.6 3.90000000000001 -3.75 -3.75 -18 0
57 52.8000000000001 -9.3 0 0 -15.5 0
58 59.8000000000001 7.50000000000001 -4 -4 -18 0
59 69.2 6.90000000000001 -4 -4 -8.5 0
60 76.4 9.7 -3.75 -3.75 -2 0
61 77.4 -0.299999999999997 -3.75 -3.75 -13 0
62 77.4 5.10000000000001 -3.75 -3.75 -6.5 0
63 79.6 -3.49999999999999 -3.75 -3.75 -8 0
64 80 -9.3 -4 -4 1 0
65 79.6 12.9 0 0 0.5 0
66 85.4 -9.3 -3.75 -3.75 -11.5 0
67 99.8000000000001 2.50000000000001 -4 -4 -6 0
68 101.8 20.5 0 0 6 0
69 105.2 2.7 -4 -4 1.5 0
70 107.4 19.5 0 0 1 0
71 112.4 -12.9 -3.75 -3.75 -4 0
72 112 19.3 0 0 5 0
73 118.6 21.7 0 0 9.5 0
74 121.6 21.1 0 0 14.5 0
75 126 19.9 0 0 6 0
76 131 18.5 -4 -4 -1 0
77 134.2 22.7 0 0 4 0
78 139.6 22.5 0 0 -1.5 0

