id /position_x /position_y /relative_velocity_x /relative_velocity_y /rcs /class_type
0 2.20000000000005 2.30000000000001 -9.5 -9.5 -9 0
1 4.40000000000003 2.10000000000001 -9.25 -9.25 -7.5 0
2 6.40000000000003 2.10000000000001 -9.25 -9.25 -4.5 0
3 8.40000000000003 2.10000000000001 -9.25 -9.25 -4.5 0
4 7.80000000000001 4.30000000000001 -7.75 -7.75 -8.5 0
5 8.40000000000003 4.10000000000001 -7.75 -7.75 -13 0
6 8.80000000000001 -4.3 -8.75 -8.75 -10.5 0
7 10.4 1.7 -9.25 -9.25 -8 0
8 10.4 1.7 -9.25 -9.25 -8.5 0
9 7.60000000000002 7.90000000000001 2 2 -1 0
10 11 -1.89999999999999 -2.25 -2.25 3 0
11 10.6 -5.3 -2.5 -2.5 2.5 0
12 10.4 6.90000000000001 -2.5 -2.5 -8.5 0
13 12.4 -1.49999999999999 -2.25 -2.25 3 0
14 12.4 -2.89999999999999 -2.25 -2.25 2 0
15 12.4 2.30000000000001 -9.25 -9.25 -12 0
16 12.4 -5.3 -9.5 -9.5 -0.5 0
17 13.6 -3.09999999999999 -2.25 -2.25 -4.5 0
18 14.4 1.90000000000001 -9.25 -9.25 1 0
19 14.4 -5.3 -9.25 -9.25 4 0
20 16 -1.49999999999999 -2.25 -2.25 -11.5 0
21 16.4 2.10000000000001 -9.25 -9.25 4.5 0
22 16.2 6.10000000000001 -9.75 -9.75 1.5 0
23 16.4 6.10000000000001 -9.25 -9.25 5 0
24 13.2 -12.1 -7.5 -7.5 -3 0
25 17.4 4.30000000000001 -7.5 -7.5 -5 0
26 18.4 -1.69999999999999 -2.25 -2.25 0 0
27 18.4 1.90000000000001 -9.25 -9.25 8 0
28 17.8000000000001 6.50000000000001 -9.5 -9.5 -3 0
29 19.2 -2.49999999999999 -2.25 -2.25 -7 0
30 19.6 1.7 -9.25 -9.25 3 0
31 19.4 -4.69999999999999 -2.25 -2.25 -8.5 0
32 20.2 -1.49999999999999 -4.25 -4.25 -7 0
33 20.6 2.30000000000001 -9.25 -9.25 -3.5 0
34 21 -1.69999999999999 -2.25 -2.25 -8.5 0
35 21 5.7 -11.75 -11.75 -19.5 0
36 21.2 -4.89999999999999 -9.25 -9.25 -13 0
37 21.6 2.10000000000001 -9.25 -9.25 -12 0
38 22.4 -2.09999999999999 -2.25 -2.25 5 0
39 22.8000000000001 2.30000000000001 -9.25 -9.25 -10.5 0
40 23.8000000000001 2.50000000000001 -9.5 -9.5 -19 0
41 19.6 -15.3 -10 -10 1 0
42 23.2 12.5 -8.75 -8.75 20.5 0
43 24.6 -13.5 -9 -9 -3 0
44 28 4.10000000000001 -7.75 -7.75 3 0
45 23 17.3 -9.25 -9.25 2 0
46 26.2 -11.7 -9 -9 -8.5 0
47 26 -13.1 -9.25 -9.25 -8 0
48 27.4 12.3 -9 -9 -5 0
49 28 -12.9 -9.25 -9.25 -5 0
50 27.2 16.7 -9 -9 -7.5 0
51 32 2.50000000000001 -9.25 -9.25 -5.5 0
52 28.2 -15.7 -9.25 -9.25 -2.5 0
53 33.2 -5.3 4.75 4.75 -13 0
54 33.8000000000001 6.30000000000001 -7.75 -7.75 -12 0
55 33.4 -9.3 4.25 4.25 -14 0
56 35 -0.0999999999999943 -9.25 -9.25 -14.5 0
57 36.8000000000001 2.7 -9.25 -9.25 10.5 0
58 25.4 -31.7 -14.5 -14.5 6.5 0
59 41 2.7 -9.25 -9.25 -3.5 0
60 43.6 -2.89999999999999 -9.25 -9.25 -7.5 0
61 43.6 -3.09999999999999 -9.25 -9.25 -9.5 0
62 40.6 -18.7 -9.5 -9.5 11.5 0
63 44.8000000000001 14.9 -9.25 -9.25 -8.5 0
64 51 -2.09999999999999 -7.5 -7.5 14 0
65 52.2 -2.49999999999999 -7.5 -7.5 -2 0
66 44.8000000000001 27.7 -9 -9 -4 0
67 47.8000000000001 -21.5 -7.75 -7.75 -6.5 0
68 53.6 0.700000000000003 -1.75 -1.75 12 0
69 50.2 -19.9 -9.25 -9.25 5 0
70 55 1.7 -1.75 -1.75 -7.5 0
71 56 -2.3 -7.5 -7.5 -4 0
72 57.2 0.700000000000003 -1.75 -1.75 -3.5 0
73 56.2 18.3 -9.25 -9.25 -7.5 0
